1.97746,47.1253,505.7,21.22
1.53228,6.4112,652.621,155.977
2.24674,20.8269,445.089,48.0148
1.76005,11.3293,568.165,88.2667
3.02616,11.9494,330.452,83.6862
2.64797,50.5459,377.648,19.784
2.80416,10.6351,356.613,94.0283
2.00468,9.1764,498.833,108.975
2.18651,7.8117,457.349,128.013
1.73031,6.7019,577.931,149.211
1.51608,8.306,659.594,120.395
2.0699,6.1162,483.114,163.5
1.73458,5.4133,576.51,184.73
1.69884,9.3145,588.636,107.359
1.48053,6.3057,675.433,158.587
1.6852,6.6553,593.402,150.256
1.6298,8.7049,613.573,114.878
1.78396,7.0582,560.55,141.679
1.87984,7.0987,531.96,140.871
2.3303,9.2978,429.129,107.552
2.30834,24.094,433.213,41.5041
1.9341,7.2005,517.035,138.879
2.10645,9.4965,474.732,105.302
1.59263,6.1111,627.891,163.637
1.38503,4.6594,722.004,214.62
1.5208,9.2657,657.549,107.925
2.13598,10.6405,468.169,93.9805
3.12481,10.3509,320.019,96.61
1.89435,13.5262,527.885,73.9306
2.04848,10.0389,488.167,99.6125
1.48192,3.841,674.8,260.349
2.27734,13.7101,439.108,72.9389
1.46065,4.1267,684.628,242.324
3.34335,28.6815,299.101,34.8657
2.41575,72.6176,413.95,13.7708
2.98047,12.2513,335.517,81.624
1.47569,7.9039,677.648,126.52
1.54739,13.6374,646.248,73.3278
1.91302,14.27,522.734,70.0771
1.98238,13.0659,504.445,76.5351
2.77341,22.9481,360.566,43.5766
2.73767,13.3085,365.274,75.1399
2.65965,14.3099,375.99,69.8817
2.8891,15.8144,346.128,63.2335
2.34519,16.0558,426.405,62.2828
1.21806,3.2582,820.976,306.918
1.4041,6.4839,712.202,154.228
1.19509,3.4408,836.755,290.63
1.00271,3.552,997.299,281.532
1.18814,13.1753,841.65,75.8996
1.87318,6.8559,533.85,145.86
1.24804,3.423,801.257,292.141
1.42075,15.3552,703.854,65.1245
